,Date,Open_P,High_P,Low_P,Close_P,Adj_Close,Volume,pct
2400,2010-09-06,1436.11,1440.01,1431.68,1434.68,1434.68,131013200.0,0.00028585970563432817
2401,2010-09-03,1440.05,1440.05,1431.67,1435.67,1435.67,140424900.0,0.0006900493489836457
2402,2010-09-02,1437.51,1441.8,1431.71,1441.07,1441.07,148954200.0,0.003761310050359734
2403,2010-09-01,1429.77,1436.73,1424.98,1431.96,1431.96,194903000.0,-0.006321691520883688
2404,2010-08-30,1412.98,1428.44,1412.98,1422.49,1422.49,183197800.0,-0.006613313221039752
2405,2010-08-27,1404.37,1415.28,1402.36,1411.05,1411.05,144186800.0,-0.008042235797791286
2406,2010-08-26,1398.29,1408.0,1397.24,1408.0,1408.0,123176200.0,-0.002161510931575794
2407,2010-08-25,1403.1,1405.27,1396.41,1396.97,1396.97,165796300.0,-0.007833806818181799
2408,2010-08-24,1404.22,1406.95,1399.77,1405.77,1405.77,168633400.0,0.006299347874328065
2409,2010-08-23,1399.87,1404.31,1396.87,1403.15,1403.15,122315300.0,-0.001863747270179239
2410,2010-08-20,1390.21,1395.03,1388.91,1395.02,1395.02,113940800.0,-0.005794106118376607
2411,2010-08-19,1386.95,1392.56,1385.93,1392.56,1392.56,144239600.0,-0.0017634155782713101
2412,2010-08-18,1380.59,1385.51,1380.16,1385.51,1385.51,147542200.0,-0.005062618486815662
2413,2010-08-17,1371.57,1381.41,1371.44,1378.47,1378.47,170876000.0,-0.0050811614495744895
2414,2010-08-16,1359.86,1370.58,1358.95,1370.58,1370.58,101534800.0,-0.005723737186881128
2415,2010-08-13,1351.8,1360.15,1351.8,1360.15,1360.15,93442800.0,-0.007609916969458119
2416,2010-08-12,1348.72,1350.2,1342.07,1349.33,1349.33,69806400.0,-0.007955004962688084
2417,2010-08-11,1359.59,1359.73,1349.5,1352.91,1352.91,79077600.0,0.0026531686096062934
2418,2010-08-10,1360.65,1362.24,1357.95,1359.71,1359.71,75333800.0,0.005026202777716149
2419,2010-08-09,1360.56,1362.04,1358.35,1360.66,1360.66,61808000.0,0.000698678394657648
2420,2010-08-06,1364.2,1364.2,1359.72,1360.45,1360.45,70841600.0,-0.00015433686593269158
2421,2010-08-05,1364.16,1364.82,1358.52,1362.08,1362.08,111985600.0,0.0011981329707080324
2422,2010-08-04,1363.51,1364.05,1359.19,1362.74,1362.74,89160400.0,0.00048455303653249793
2423,2010-08-03,1366.16,1370.52,1359.55,1363.83,1363.83,105258700.0,0.000799859107386558
2424,2010-08-02,1364.23,1368.43,1361.37,1363.6,1363.6,72660200.0,-0.00016864271940053577
2425,2010-07-30,1357.51,1360.92,1354.76,1360.92,1360.92,120581300.0,-0.0019653857436197075
2426,2010-07-29,1355.78,1359.27,1353.16,1358.41,1358.41,113124200.0,-0.001844340593128213
2427,2010-07-28,1352.65,1356.13,1350.62,1355.19,1355.19,75111200.0,-0.0023704183567553327
2428,2010-07-27,1352.47,1357.23,1348.29,1352.23,1352.23,103472400.0,-0.002184195574052361
2429,2010-07-26,1350.54,1352.94,1348.58,1351.82,1351.82,77598800.0,-0.00030320285750207177
2430,2010-07-23,1341.04,1345.68,1340.78,1345.68,1345.68,109986700.0,-0.004542024825790358
2431,2010-07-22,1339.08,1339.98,1332.92,1336.05,1336.05,80568800.0,-0.007156233279828839
2432,2010-07-21,1340.38,1344.96,1338.83,1341.02,1341.02,79138400.0,0.003719920661651832
2433,2010-07-20,1334.53,1338.68,1334.53,1337.67,1337.67,77330800.0,-0.002498098462364373
2434,2010-07-19,1333.92,1333.99,1327.98,1333.35,1333.35,80266000.0,-0.0032294960640517623
2435,2010-07-16,1333.86,1336.65,1332.68,1336.65,1336.65,90899600.0,0.0024749690628869114
2436,2010-07-15,1339.58,1340.11,1331.2,1334.08,1334.08,84559200.0,-0.0019227172408634585
2437,2010-07-14,1336.65,1341.96,1335.72,1341.08,1341.08,123276400.0,0.005247061645478501
2438,2010-07-13,1329.87,1332.87,1328.71,1332.87,1332.87,99389200.0,-0.006121931577534601
2439,2010-07-12,1323.91,1331.74,1323.55,1326.74,1326.74,78791800.0,-0.004599098186619743
2440,2010-07-09,1316.16,1327.27,1315.88,1324.31,1324.31,140325600.0,-0.001831557049610355
2441,2010-07-08,1314.62,1317.05,1312.95,1316.03,1316.03,89981400.0,-0.006252312525013015
2442,2010-07-07,1305.97,1311.83,1304.61,1311.75,1311.75,83679000.0,-0.0032522054968351366
2443,2010-07-06,1297.31,1307.22,1294.37,1307.08,1307.08,90967200.0,-0.003560129597865558
2444,2010-07-05,1305.51,1306.03,1298.14,1299.5,1299.5,74662400.0,-0.005799185971784415
2445,2010-07-02,1305.22,1307.74,1304.09,1307.44,1307.44,142934200.0,0.006110042323970832
2446,2010-07-01,1312.97,1315.87,1306.67,1308.76,1308.76,114089100.0,0.0010096065593832027
2447,2010-06-30,1309.18,1316.36,1306.0,1314.02,1314.02,81512000.0,0.0040190714875147915
2448,2010-06-29,1326.2,1331.09,1315.82,1319.84,1319.84,87023800.0,0.00442915632943186
2449,2010-06-28,1326.06,1326.06,1323.62,1325.54,1325.54,53813200.0,0.004318705297611913
2450,2010-06-25,1323.27,1326.45,1321.72,1326.45,1326.45,56493800.0,0.0006865126665358545
2451,2010-06-24,1327.69,1333.49,1325.71,1325.87,1325.87,68009600.0,-0.00043725734102317837
2452,2010-06-23,1322.05,1329.7,1318.52,1329.7,1329.7,85413600.0,0.0028886693265555152
2453,2010-06-22,1334.2,1334.2,1323.44,1323.44,1323.44,81704400.0,-0.004707828833571459
2454,2010-06-21,1320.78,1335.31,1320.78,1335.29,1335.29,113371400.0,0.008953938221604174
2455,2010-06-18,1306.17,1317.69,1306.0,1317.69,1317.69,105326700.0,-0.013180657385287065
2456,2010-06-17,1304.5,1306.93,1303.74,1304.47,1304.47,64461200.0,-0.010032708755473574
2457,2010-06-16,,,,,,,0.0
2458,2010-06-15,1297.26,1299.15,1296.74,1298.37,1298.37,78556800.0,-0.004676228659915571
2459,2010-06-14,1294.89,1298.68,1294.6,1297.16,1297.16,51568800.0,-0.0009319377373165905
2460,2010-06-11,1298.51,1302.07,1294.67,1294.67,1294.67,82157600.0,-0.0019195781553548175
